,show_id,type,title,cast,country,date_added,release_year,rating,duration,listed_in,description
5798,80113612,TV Show,Fauda,"Lior Raz, Hisham Suliman, Shadi Mar'i, Laëtitia Eïdo, Tsahi Halevi, Yuval Segal, Neta Garty, Tomer Kapon, Itzik Cohen, Rona-Lee Shim'on, Boaz Konforty, Doron Ben-David",Israel," May 24, 2018",2018,TV-MA,2,"International TV Shows, TV Action & Adventure, TV Dramas","A top Israeli agent comes out of retirement to hunt for a Palestinian militant he thought he'd killed, setting a chaotic chain of events into motion."
5799,80133311,TV Show,Riverdale,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Marisol Nichols, Madelaine Petsch, Ashleigh Murray, Mädchen Amick, Luke Perry, Casey Cott, Charles Melton, Mark Consuelos, Lochlyn Munro, Peter Bryant, Colin Lawrence, Molly Ringwald, Asha Bromfield, Barclay Hope, Hayley Law, Martin Cummins, Sarah Habel, Nathalie Boltt, Skeet Ulrich",United States," May 23, 2019",2019,TV-14,3,"Crime TV Shows, TV Dramas, TV Mysteries","While navigating the troubled waters of sex, romance, school and family, teen Archie and his gang become entangled in a dark Riverdale mystery."
5800,80027042,TV Show,The Flash,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States," May 22, 2019",2019,TV-14,5,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",A forensics expert who wakes from a coma with amazing new powers squares off against forces threatening the city in this live-action superhero romp.
5801,80018046,TV Show,Velvet,"Paula Echevarría, Miguel Ángel Silvestre, Aitana Sánchez-Gijón, Manuela Velasco, Manuela Vellés, Marta Hazas, Javier Rey, Maxi Iglesias, Cecilia Freire, Adrián Lastra, Miriam Giovanelli, Natalia Millán, José Sacristán, Ingrid Rubio, Peter Vives, Llorenç González, Ángela Molina, Pastora Vega",Spain," May 22, 2017",2016,TV-14,4,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1950s Spain, the heir to a fashion house romances a beautiful seamstress who works for the company, despite the objections of his family."
5802,80020540,TV Show,Richie Rich,"Jake Brennan, Joshua Carlon, Lauren Taylor, Jenna Ortega, Kiff VandenHeuvel, Brooke Wexler",United States," May 22, 2015",2015,TV-G,2,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure."
5803,70242081,TV Show,Arrow,"Stephen Amell, Katie Cassidy, David Ramsey, Willa Holland, Paul Blackthorne, Emily Bett Rickards, John Barrowman, Colton Haynes, Susanna Thompson, Anna Hopkins, Juliana Harkavy, Adrian Holmes, Kathleen Gati, Echo Kellum, Rick Gonzalez, Dominic Bogart, Manu Bennett",United States," May 21, 2019",2019,TV-14,7,"Crime TV Shows, TV Action & Adventure","Based on DC Comics' Green Arrow, an affluent playboy becomes a vengeful superhero, saving the city from villains armed with just a bow and arrows."
5804,80223556,TV Show,Prince of Peoria,"Gavin Lewis, Theodore Barnes, Shelby Simmons, Cynthia Kaye McWilliams",United States," May 20, 2019",2019,TV-Y7,2,"Kids' TV, TV Comedies",A prankster prince who wants to experience life as an ordinary teen leaves his kingdom to live incognito with a single mom and her studious son.
5805,80170690,TV Show,Rosario Tijeras,"Bárbara de Regil, José María de Tavira, Antonio Gaona, Hernán Mendoza, Vanessa Bauche, Christian Vasquez, José Sefami, Ariel López Padilla",Mexico," May 20, 2019",2018,TV-MA,2,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Worlds collide when a vengeance-obsessed young woman from the other side of the tracks captures the attention of two well-off friends.
5806,80077417,TV Show,Colony,"Josh Holloway, Sarah Wayne Callies, Peter Jacobson, Amanda Righetti, Tory Kittles, Isabella Crovetti, Alex Neustaedter",United States," May 2, 2019",2018,TV-14,3,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son."
5807,70197057,TV Show,Scandal,"Kerry Washington, Columbus Short, Darby Stanchfield, Katie Lowes, Guillermo Díaz, Joshua Malina, Jeff Perry, Bellamy Young, Tony Goldwyn, Scott Foley",United States," May 19, 2018",2018,TV-14,7,"Crime TV Shows, TV Dramas","A powerful team of Washington, D.C. lawyers makes scandals disappear while handling government crises and coping with problems of their own."
5808,80044908,TV Show,Mother Goose Club,,United States," May 19, 2017",2016,TV-Y,2,Kids' TV,Classic nursery rhymes and children's songs get a fresh twist in this high-energy program that helps kids learn as they dance and sing along.
5809,80025273,TV Show,Inspector Gadget,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath","Canada, United States"," May 18, 2018",2017,TV-Y7,4,"Crime TV Shows, Kids' TV, TV Comedies","Inspector Gadget is back and must face his old enemy, the evil Dr. Claw, who has reactivated MAD, his global crime syndicate."
5810,70143864,TV Show,Royal Pains,"Mark Feuerstein, Paulo Costanzo, Reshma Shetty, Jill Flint, Campbell Scott, Brooke D'Orsay, Dieter Riesle",United States," May 18, 2017",2016,TV-PG,8,"TV Comedies, TV Dramas",Dr. Hank Lawson unexpectedly gets a career upgrade as a freelance physician treating New York's aristocratic upper crust in their posh Hamptons homes.
5811,80179138,TV Show,Nailed It,"Nicole Byer, Jacques Torres",United States," May 17, 2019",2019,TV-PG,3,Reality TV,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
5812,80154610,TV Show,The Rain,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen","Denmark, United States"," May 17, 2019",2019,TV-MA,2,"International TV Shows, TV Dramas, TV Mysteries","Six years after a brutal virus wipes out most of Scandinavia's population, two siblings join a band of young survivors seeking safety – and answers."
5813,80191680,TV Show,White Gold,"Ed Westwick, James Buckley, Joe Thomas, Lauren O'Rourke, Linzey Cocker, Nigel Lindsay, Lloyd Hutchinson, Lee Ross",United Kingdom," May 17, 2019",2019,TV-MA,2,"British TV Shows, International TV Shows, TV Comedies","In 1980s Essex, cocky salesman Vincent Swan and his unscrupulous team will do anything to get the sale – including throwing honesty out the window."
5814,70245163,TV Show,Call the Midwife,"Vanessa Redgrave, Bryony Hannah, Helen George, Jenny Agutter, Pam Ferris, Laura Main, Judy Parfitt, Cliff Parisi, Stephen McGann, Ben Caplan, Miranda Hart, Jessica Raine, Max Macmillan, Victoria Yeates, Jack Ashton, Emerald Fennell, Linda Bassett",United Kingdom," May 15, 2019",2018,TV-14,8,"British TV Shows, International TV Shows, TV Dramas",This period drama set in impoverished East London in the 1950s follows a newly qualified midwife and her colleagues at a nursing convent.
5815,70202589,TV Show,Sherlock,"Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Mark Gatiss, Andrew Scott","United Kingdom, United States"," May 15, 2017",2017,TV-14,4,"British TV Shows, Crime TV Shows, International TV Shows","In this updated take on Sir Arthur Conan Doyle's beloved mystery tales, the eccentric sleuth prowls the streets of modern London in search of clues."
5816,80049714,TV Show,Master of None,"Aziz Ansari, Noël Wells, Eric Wareheim, Lena Waithe, Kelvin Yu, Fatima Ansari, Shoukath Ansari, Alessandra Mastronardi, Bobby Cannavale",United States," May 12, 2017",2017,TV-MA,2,TV Comedies,Dev tries to jump-start his acting career and elevate his dating game with help from his eclectic group of friends in this award-winning series.
5817,80117748,TV Show,Bill Nye Saves the World,"Bill Nye, Karlie Kloss, Derek Muller, Emily Calandrelli, Nazeem Hussain, Joanna Hausmann",United States," May 11, 2018",2018,TV-14,3,Stand-Up Comedy & Talk Shows,Emmy-winning host Bill Nye brings experts and famous guests to his lab for a talk show exploring scientific issues that touch our lives.
5818,80184422,TV Show,Ha Unlimited,"Tuck Boriboon, Ball Chernyim, Na’Kom Chuanchuen",," May 11, 2018",2016,TV-14,2,"International TV Shows, TV Comedies","Three comedians launch a company designed to spread happiness far and wide in this Thai sitcom packed with gags, sound effects and special guests."
5819,80095699,TV Show,Easy,"Aubrey Plaza, Judy Greer, Jane Adams, Zazie Beetz, Kate Berlant, Aya Cash, Michael Chernus, Kiersey Clemons, Orlando Bloom, Malin Akerman, Marc Maron, Dave Franco, Hannibal Buress, Jake Johnson, Emily Ratajkowski, Andrew Bachelor",United States," May 10, 2019",2019,TV-MA,3,"TV Comedies, TV Dramas","This eclectic, star-studded anthology follows diverse Chicagoans fumbling through the modern maze of love, sex, technology and culture."
5820,80120485,TV Show,The Mechanism,"Selton Mello, Caroline Abras, Enrique Diaz, Antonio Saboia, Lee Taylor, Otto Jr., Leonardo Medeiros, Osvaldo Mil, Jonathan Haagensen, Giulio Lopes, Susana Ribeiro",Brazil," May 10, 2019",2019,TV-MA,2,"Crime TV Shows, International TV Shows, TV Dramas",A scandal erupts in Brazil during an investigation of alleged government corruption via oil and construction companies. Loosely inspired by true events.
5821,80065146,TV Show,Code Geass: Lelouch of the Rebellion,"Jun Fukuyama, Takahiro Sakurai, Yukana, Ami Koshimizu, Kaori Nazuka, Fumiko Orikasa, Sayaka Ohara, Noriaki Sugiyama, Takahiro Mizushima, Soichiro Hoshi, Yuko Goto",Japan," May 1, 2019",2008,TV-14,2,"Anime Series, International TV Shows",A high-schooler who's granted powers to make anyone instantly obedient dons a mask to lead Japan's rebellion against a long-invading Britannia.
5822,80101826,TV Show,LoliRock,"Kazumi Evans, Kelly Sheridan, Vincent Tong, Ashleigh Ball, Tabitha St. Germain, Mackenzie Gray, Matt Ellis, James Kirk, Chiara Zanni","South Korea, France"," May 1, 2018",2016,TV-Y,2,Kids' TV,A teenager with a beautiful voice becomes a pop star but discovers she has powers that come from a magical realm where she's a lost princess.
5823,80987906,TV Show,Yu-Gi-Oh! Arc-V,"Mike Liscio, Emily Bauer, Billy Bob Thompson, Alyson Leigh Rosenfeld, Michael Crouch","Japan, Canada"," May 1, 2018",2015,TV-Y7,2,"Anime Series, Kids' TV","Now that he's discovered the Pendulum Summoning technique, Yuya's dream of becoming the greatest ""dueltainer"" is in reach – but it won't be easy!"
5824,80239796,TV Show,Club Friday The Series 6,"Puttichai Kasetsin, Kongtoranin Lalana, Preechaya Pongthananikorn",," March 9, 2019",2015,TV-14,9,"International TV Shows, Romantic TV Shows, TV Dramas","Based on a Thai radio show that gives love advice to callers, this series dramatizes stories of infidelity, love triangles, sexual identity and more."
5825,80026506,TV Show,Love,"Gillian Jacobs, Paul Rust, Claudia O'Doherty",United States," March 9, 2018",2018,TV-MA,3,"Romantic TV Shows, TV Comedies, TV Dramas",Rebellious Mickey and good-natured Gus navigate the thrills and agonies of modern relationships in this bold comedy co-created by Judd Apatow.
5826,70300472,TV Show,Hunter X Hunter (2011),"Megumi Han, Mariya Ise, Keiji Fujiwara, Miyuki Sawashiro, Daisuke Namikawa",Japan," March 8, 2019",2013,TV-MA,3,"Anime Series, International TV Shows","To fulfill his dreams of becoming a legendary Hunter like his dad, a young boy must pass a rigorous examination and find his missing father."
5827,80032178,TV Show,Hap and Leonard,"James Purefoy, Michael Kenneth Williams, Jimmi Simpson, Bill Sage, Christina Hendricks, Pollyanna McIntosh, Jeff Pope, Neil Sandilands, Henry G. Sanders, Enrique Murciano",United States," March 6, 2019",2018,TV-MA,3,"Crime TV Shows, TV Dramas","In late-1980s Texas, two best friends get involved in darkly comic misadventures by hiring themselves out to shady clients for illicit ends."
5828,80211136,TV Show,Secret City,"Anna Torv, Jacki Weaver, Dan Wyllie, Alex Dimitriades, Damon Herriman, Mekhi Phifer, Eugenia Yuan, Matt Zeremes, Alan Dale",Australia," March 6, 2019",2016,TV-MA,2,"International TV Shows, TV Dramas, TV Mysteries",A student's protest leads to a government scandal that has personal and professional repercussions for one of Australia's toughest journalists.
5829,70260729,TV Show,Rectify,"Aden Young, Abigail Spencer, J. Smith-Cameron, Clayne Crawford, Luke Kirby, Adelaide Clemens, Jake Austin Walker, Jayson Warner Smith, Bruce McKinnon, J.D. Evermore, Michael O'Neill, Sean Bridgers, Johnny Ray Gill, Sharon Conley, Michael Vartan",United States," March 4, 2017",2016,TV-14,4,"Crime TV Shows, TV Dramas, TV Mysteries","Convicted of rape and murder at age 18, Daniel Holden spends nearly 20 years on death row until DNA evidence brings the verdict into question."
5830,80244567,TV Show,Dad's Army,"Arthur Lowe, John Le Mesurier, Clive Dunn, John Laurie, Arnold Ridley, Ian Lavender, James Beck, Bill Pertwee",United Kingdom," March 31, 2018",1977,TV-PG,10,"British TV Shows, Classic & Cult TV, TV Comedies",This beloved sitcom follows the unlikely heroes of the volunteer British Home Guard as they prepare for German invasion in World War II.
5831,80233664,TV Show,Days We Stared at the Sun,"Sean Huang, Chang Chia-yu, Wu Chien-ho, Teresa Daley, Yong Lea, Edison Song, Shan Cheng-ju, Iris Hu, Hsia Teng-hung",Taiwan," March 31, 2018",2017,TV-MA,2,"International TV Shows, TV Dramas",A model student resorts to violence after witnessing greed and corruption wreak havoc on his life.
5832,80097034,TV Show,Doctor Foster,"Suranne Jones, Bertie Carvel, Clare-Hope Ashitey, Cheryl Campbell, Jodie Comer, Victoria Hamilton, Martha Howe-Douglas, Adam James, Thusitha Jayasundera, Sara Stewart, Neil Stuke, Tom Taylor, Robert Pugh, Shazia Nicholls, Cian Barry, Megan Roberts, Charlie Cunniffe, Navin Chowdhry",United Kingdom," March 31, 2018",2017,TV-MA,2,"British TV Shows, International TV Shows, Romantic TV Shows","When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession."
5833,80023644,TV Show,Father Brown,"Mark Williams, Sorcha Cusack, Nancy Carroll, Alex Price, Hugo Speer, Tom Chambers, Keith Osborn",United Kingdom," March 31, 2018",2017,TV-14,6,"British TV Shows, Crime TV Shows, TV Dramas","A modest, compassionate priest doubles as an effective crime solver in this series based on the short stories by G.K. Chesterton."
5834,80170186,TV Show,ViR: The Robot Boy,"Vidit Kumar, Roopa Bhimani, Anubhav Saha, Brian Dcosta",," March 31, 2018",2013,TV-Y7,2,Kids' TV,"Humanoid robot boy ViR lives with his inventor, Dr. Prem Sahay, and, with his best friends, is always ready to use his superpowers to save the day."
5835,80233447,TV Show,Wake Up,"Jag Huang, Chris Wu, Tiffany Hsu, Michael Huang, Lego Li, Summer Meng",," March 31, 2018",2017,TV-14,2,"International TV Shows, TV Dramas","After taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system."
5836,70177034,TV Show,Yu-Gi-Oh!,"Dan Green, Eric Stuart, Amy Birnbaum, Darren Dunstan, Wayne Grayson, Tara Sands, Lisa Ortiz, Megan Hollingshead, Madeleine Blaustein, Sam Riegel, Ted Lewis, Gregory Abbey, Jimmy Zoppi",Japan," March 31, 2018",2005,TV-Y7,5,"Anime Series, Kids' TV","The lives of young Yugi Moto and his friends Joey, Tristan, and Téa are forever changed when a fantasy card game becomes their reality."
5837,70157434,TV Show,Extras,"Ricky Gervais, Stephen Merchant, Ashley Jensen, Shaun Williamson, Shaun Pye","United Kingdom, United States"," March 31, 2017",2006,TV-MA,2,"British TV Shows, TV Comedies","Grasping hungrily for stardom, bit actor Andy Millman and his pal Maggie spend their days chasing after work as film and TV extras."
5838,80179201,TV Show,Hoff the Record,"David Hasselhoff, Asim Chaudhry, Fergus Craig, Mark Quartley, Ella Smith, Brett Goldstein",United Kingdom," March 31, 2017",2016,TV-MA,2,"British TV Shows, TV Comedies","TV star David Hasselhoff hopes to reboot his career in the U.K., but both his comeback plans and his personal life keep going off the rails."
5839,80178836,TV Show,The House That Made Me,Vinay Pathak,India," March 31, 2017",2015,TV-PG,3,"International TV Shows, Reality TV","With host Vinay Pathak, Indian celebrities return to their childhood homes to reconnect with the past and share stories of their journey to success."
5840,80169785,TV Show,Weird Wonders of the World,Chris Packham,United Kingdom," March 31, 2017",2016,TV-PG,2,"British TV Shows, Docuseries, Science & Nature TV","From animal oddities and bizarre science to medical marvels, scientists and experts examine some of the world's strangest mysteries and phenomena."
5841,70171957,TV Show,Republic of Doyle,"Allan Hawco, Krystin Pellerin, Marthe Bernard, Mark O'Brien, Sean McGinley, Lynda Boyd, Bob Cole, Steve O'Connell, Sean Panting, Rachel Wilson",Canada," March 31, 2016",2014,TV-14,6,"Crime TV Shows, TV Comedies, TV Dramas",A pair of father and son private investigators tries to keep their combustible personal lives in check while tackling an intriguing array of cases.
5842,80024057,TV Show,How to Get Away with Murder,"Viola Davis, Billy Brown, Alfred Enoch, Jack Falahee, Katie Findlay, Aja Naomi King, Matt McGorry, Karla Souza, Charlie Weber, Liza Weil",United States," March 30, 2019",2018,TV-14,5,"Crime TV Shows, TV Dramas, TV Mysteries","Brilliant criminal defense attorney and law professor Annalise Keating, plus five of her students, become involved in a twisted murder case."
5843,70153385,TV Show,Trailer Park Boys,"Mike Smith, John Paul Tremblay, Robb Wells, John Dunsworth, Patrick Roach, Cory Bowles, Lucy Decoutere, Barrie Dunn, Sarah Dunsworth, Jeanna Harrison, Michael Jackson, Garry James, Tyrone Parsons, Shelley Thompson, Jonathan Torrens",Canada," March 30, 2018",2018,TV-MA,12,"Classic & Cult TV, Crime TV Shows, International TV Shows",Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.
5844,80117809,TV Show,On My Block,"Sierra Capri, Jason Genao, Brett Gray, Diego Tinoco, Julio Macias, Jessica Marie Garcia, Ronni Hawk, Peggy Ann Blow, Paula Garcés, Danny Ramirez",United States," March 29, 2019",2019,TV-14,2,"Romantic TV Shows, TV Comedies, TV Dramas","In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school."
5845,80095815,TV Show,Santa Clarita Diet,"Drew Barrymore, Timothy Olyphant, Liv Hewson, Skyler Gisondo",United States," March 29, 2019",2019,TV-MA,3,"TV Comedies, TV Horror, TV Thrillers",They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.
5846,80099753,TV Show,Versailles,"George Blagden, Alexander Vlahos, Tygh Runyan, Stuart Bowman, Evan Williams, Elisa Lasowski, Joe Sheridan, Steve Cumyn, Anna Brewster, Maddison Jaizani, Pip Torrens, Catherine Walker, Lizzie Brocheré, Geoffrey Bateman","France, Canada"," March 29, 2019",2018,TV-MA,3,"International TV Shows, TV Dramas",King Louis XIV of France commissions a lavish palace that becomes a fierce battleground for love and politics – and a gilded prison for nobility.
5847,80195839,TV Show,Hyori's Bed & Breakfast,"Hyo-ri Lee, Sang-soon Lee, Ji-eun Lee",," March 29, 2018",2018,TV-PG,2,"International TV Shows, Korean TV Shows, Reality TV","K-pop diva Lee Hyo-ri and her husband open up their home on the beautiful Jeju Island to welcome travelers for free stays, meals and late-night chats."
5848,80174280,TV Show,Ainori Love Wagon: Asian Journey,"Becky, Audrey, Mayuko Kawakita, Shimon Okura",Japan," March 28, 2019",2018,TV-MA,2,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple."
5849,80178687,TV Show,Black Lightning,"Cress Williams, James Remar, Marvin 'Krondon' Jones III, Jill Scott, China Anne McClain, Damon Gupton, Nafessa Williams, Christine Adams",United States," March 26, 2019",2019,TV-14,2,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",School principal and retired superhero Jefferson Pierce leaps back into action as the legendary Black Lightning after a gang threatens his family.
5850,80021955,TV Show,Better Call Saul,"Bob Odenkirk, Jonathan Banks, Michael McKean, Rhea Seehorn, Patrick Fabian, Michael Mando, Giancarlo Esposito",United States," March 26, 2018",2017,TV-MA,3,"Crime TV Shows, TV Comedies, TV Dramas","This Emmy-nominated prequel to ""Breaking Bad"" follows small-time attorney Jimmy McGill as he transforms into morally challenged lawyer Saul Goodman."
5851,80022276,TV Show,Bottersnikes & Gumbles,"Jason Callender, Kathryn Drysdale, Akiya Henry, Jeff Rawle, Richard Grieve, Simone Craddock, Alex Babic, Miriam Margolyes","United States, United Kingdom, Australia"," March 24, 2017",2017,TV-Y7,2,"British TV Shows, Kids' TV",The fun-loving Gumbles bounce and play while staying away from the foul-smelling Bottersnikes who live in a nearby junkyard.
5852,80044950,TV Show,The OA,"Brit Marling, Jason Isaacs, Emory Cohen, Scott Wilson, Phyllis Smith, Alice Krige, Patrick Gibson, Brendan Meyer, Brandon Perea, Ian Alexander, Will Brill, Riz Ahmed, Paz Vega",United States," March 22, 2019",2019,TV-MA,2,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy","Seven years after vanishing from her home, a young woman returns with mysterious new abilities and recruits five strangers for a secret mission."
5853,70136135,TV Show,Mad Men,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones, Christina Hendricks, Aaron Staton, Rich Sommer, John Slattery, Kiernan Shipka, Robert Morse, Michael Gladis, Christopher Stanley, Bryan Batt, Jared Harris, Jessica Paré, Alison Brie, Jay R. Ferguson, Ben Feldman, Mark Moses, Alexa Alemanni, Julie McNiven",United States," March 22, 2015",2014,TV-14,7,TV Dramas,"Set in 1960s New York City, this award-winning series takes a peek inside an ad agency during an era when the cutthroat business had a glamorous lure."
5854,70136114,TV Show,The L Word,"Jennifer Beals, Leisha Hailey, Laurel Holloman, Mia Kirshner, Katherine Moennig, Pam Grier, Rachel Shelley, Daniela Sea, Erin Daniels, Marlee Matlin","Canada, United States"," March 20, 2018",2009,TV-MA,6,"Romantic TV Shows, TV Dramas",This trailblazing series follows the tangled lives and ever-changing relationships among a close-knit group of lesbians who call Los Angeles home.
5855,80175685,TV Show,The Standups,"Nate Bargatze, Fortune Feimster, Deon Cole, Nikki Glaser, Beth Stelling, Dan Soder",United States," March 20, 2018",2018,TV-MA,2,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy's freshest voices take the stage in LA for six half-hour specials packed with sly jokes, hilarious anecdotes and awkward confessions."
5856,80170109,TV Show,El Reemplazante,"Iván Álvarez de Araya, Blanca Lewin, Karla Melo, Sebastián Ayala, Roberto Farías, Sergio Hernández",Chile," March 20, 2017",2013,TV-MA,2,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A former high-ranking financial executive finds redemption and romance when he's paroled after a prison sentence and becomes a math teacher.
5857,80156047,TV Show,Outback Truckers,,Australia," March 17, 2017",2015,TV-14,3,Reality TV,"Australia's toughest big-rig drivers brave wildfires, scorching deserts, treacherous downpours and chassis-deep mud to deliver their cargo on time."
5858,80138030,TV Show,Angry Birds,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland," March 16, 2019",2018,TV-G,3,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
5859,80007225,TV Show,Happy Valley,"Sarah Lancashire, Siobhan Finneran, Charlie Murphy, James Norton, George Costigan, Karl Davies, Shane Zaza, Steve Pemberton, Joe Armstrong, Adam Long, Rick Warden, Rhys Connah, Katherine Kelly",United Kingdom," March 16, 2016",2016,TV-MA,2,"British TV Shows, Crime TV Shows, International TV Shows","Yorkshire police sergeant Catherine Cawood pursues the man who assaulted her late daughter, unaware he is now part of a secret kidnapping plot."
5860,80029103,TV Show,Brain Games,Jason Silva,United States," March 15, 2019",2016,TV-G,3,"Docuseries, Science & Nature TV","This interactive series uses games, illusions and experiments to illustrate how our brains manufacture our reality and often play tricks on us."
5861,80036140,TV Show,Las muñecas de la mafia,"Amparo Grisales, Fernando Solórzano, Angelica Blandon, Katherine Escobar, Yuly Ferreira, Alejandra Sandoval, Andrea Gómez, Andrea Guzmán, Diego Vásquez, Julián Román, Juan Pablo Franco",Colombia," March 15, 2019",2018,TV-14,2,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Based on the book ""Las Fantásticas,"" this exciting telenovela follows the tumultuous lives of five women who get mixed up with the Mafia."
5862,80147920,TV Show,Robozuna,"Taylor Clarke-Hill, Tom Clarke-Hill, Larissa Murray, Brianna Price, Michael Obiora, Morwenna Banks, Rufus Jones, Duncan Wisbey, Danny John-Jules, Ali A",United Kingdom," March 15, 2019",2018,TV-Y7-FV,2,"British TV Shows, Kids' TV",A boy and his homemade robot enter the toughest competition in the universe while attempting to free their oppressed home from an evil empire.
5863,80212301,TV Show,Terrace House: Opening New Doors,"You, Reina Triendl, Yoshimi Tokui, Azusa Babazono, Ryota Yamasato, Shono Hayama",Japan," March 12, 2019",2018,TV-14,6,"International TV Shows, Reality TV","A group of young people – including a chef, a snowboarder and an ice hockey player – gather in the Karuizawa woods while pursuing their dreams."
5864,80067617,TV Show,Into the Badlands,"Daniel Wu, Emily Beecham, Sarah Bolger, Oliver Stark, Orla Brady, Ally Ioannides, Stephen Lang, Marton Csokas, Madeleine Mantock, Aramis Knight",United States," March 10, 2019",2018,NR,3,TV Action & Adventure,"Dreaming of escaping to a distant city, a ferocious warrior and a mysterious boy tangle with territorial warlords and their highly trained killers."
5865,80208052,TV Show,Guru Aur Bhole,Amit Kumar,," March 1, 2019",2018,TV-G,3,"Kids' TV, TV Comedies",A singer and a dancer who are best friends use their artistic abilities to get out of one hilariously sticky situation after another.
5866,80991329,TV Show,Larva Island,"Hong Bum-ki, Eddy Lee, Ahn Hyo-min, Kang Shi-hyun, Tom Wayland, Erica Schroeder",," March 1, 2019",2019,TV-Y7,2,"Kids' TV, Korean TV Shows, TV Comedies","Stranded on a tropical island, two silly larva buddies find slapstick fun in everything from discovering food to meeting new animal friends."
5867,80207879,TV Show,Sab Jholmaal Hai,,India," March 1, 2019",2017,TV-G,4,"Kids' TV, TV Comedies","In this madcap comedy, two mischievous cats, a talking parrot and a high-strung dog keep getting into trouble while their human is away."
5868,80117781,TV Show,The Disastrous Life of Saiki K.,"Hiroshi Kamiya, Daisuke Ono, Nobunaga Shimazaki, Satoshi Hino, Natsuki Hanae, Ai Kayano, Yukari Tamura, Mitsuo Iwata, Rikako Aikawa",Japan," March 1, 2019",2018,TV-14,3,"Anime Series, International TV Shows, Teen TV Shows","High school sophomore Kusuo Saiki swore as a child that he would keep his psychic talents hidden, but his abilities still make his life difficult."
5869,80091689,TV Show,Murder Maps,Nicholas Day,United Kingdom," March 1, 2018",2017,TV-MA,3,"British TV Shows, Crime TV Shows, Docuseries",Dramatic reenactments paired with archival sources artfully illustrate how police brought some of Britain's most infamous killers to justice.
5870,80003149,TV Show,Nazi Mega Weapons,,United States," March 1, 2017",2016,TV-PG,3,Docuseries,"This documentary series examines Nazi Germany's military hardware, defenses and technology, including fortifications, U-boats and ballistic missiles."
5871,80094728,TV Show,Marcella,"Anna Friel, Nicholas Pinnock, Sinéad Cusack, Nina Sosanya, Harry Lloyd, Laura Carmichael, Maeve Dermody, Ray Panthaki, Ian Puleston-Davies, Patrick Baladi, Florence Pugh, Jamie Bamber, Charlie Covell, Andrew Lancel, Jack Doolan, Tobias Santelmann, Stephen Lord, Ben Cura, Imogen Faires",United Kingdom," June 8, 2018",2017,TV-MA,2,"British TV Shows, Crime TV Shows, International TV Shows","Her marriage just ended and she's returning to work as a London detective after 12 years away. Is the serial killer she once investigated back, too?"
5872,80074220,TV Show,3%,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",Brazil," June 7, 2019",2019,TV-MA,3,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor."
